Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj							
TIGR02381	890.7521485	0.656952329	0.219664237	2.99071136	0.002783284	0.054063954	DNA metabolism	"DNA replication, recombination, and repair"	cspD	cold shock domain protein CspD	cspD	NA	"This HMM represents what appears to be a phylogenetically distinct clade, containing E. coli CspD (SP|P24245) and related proteobacterial proteins within the larger family of cold shock domain proteins described by Pfam HMM PF00313. The gene symbol cspD may have been used idependently for other subfamilies of cold shock domain proteins, such as for B. subtilis CspD. These proteins typically are shorter than 70 amino acids. In E. coli, CspD is a stress response protein induced in stationary phase. This homodimer binds single-stranded DNA and appears to inhibit DNA replication [1]."
TIGR02891	169.5205897	-1.119156834	0.374915428	-2.985091438	0.002834936	0.054063954	Energy metabolism	Electron transport	CtaD_CoxA	"cytochrome c oxidase, subunit I"	ctaD	1.9.3.1	"This large family represents subunit Is (CtaD, CoxA, CaaA) of cytochrome c oxidases of bacterial origin."
TIGR02492	8.729072534	1.403589083	0.470420851	2.983688074	0.002847969	0.054063954	Cellular processes	Chemotaxis and motility	flgK_ends	flagellar hook-associated protein FlgK	flgK	NA	"The flagellar hook-associated protein FlgK of bacterial flagella has conserved N- and C-terminal domains. The central region is highly variable in length and sequence, and often contains substantial runs of low-complexity sequence. This model is built from an alignment of FlgK sequences with the central region excised. Note that several other proteins of the flagellar apparatus also are homologous in the N- and C-terminal regions to FlgK, but are excluded from this model."
TIGR01858	7.365717873	1.219046282	0.412724205	2.953658319	0.003140315	0.057967925	NA	NA	tag_bisphos_ald	"class II aldolase, tagatose bisphosphate family"	NA	4.1.2.-	"This HMM describes tagatose-1,6-bisphosphate aldolases, and perhaps other closely related class II aldolases. This tetrameric, Zn2+-dependent enzyme is related to the class II fructose bisphosphate aldolase; fructose 1,6-bisphosphate and tagatose 1,6 bisphosphate differ only in chirality at C4."
TIGR01108	10.27792467	1.287582761	0.436146718	2.952178035	0.003155409	0.057967925	Transport and binding proteins	Cations and iron carrying compounds	oadA	oxaloacetate decarboxylase alpha subunit	oadA	4.1.1.3	This model describes the bacterial oxaloacetate decarboxylase alpha subunit and its equivalents in archaea. The oxaloacetate decarboxylase Na+ pump is the paradigm of the family of Na+ transport decarboxylases that present in bacteria and archaea. It a multi subunit enzyme consisting of a peripheral alpha-subunit and integral membrane subunits beta and gamma. The energy released by the decarboxylation reaction of oxaloacetate is coupled to Na+ ion pumping across the membrane.
TIGR01971	18.53835401	-0.839478769	0.285381157	-2.941605458	0.003265156	0.059031955	Energy metabolism	Electron transport	NuoI	"NADH-quinone oxidoreductase, chain I"	NA	NA	"This HMM represents the I subunit (one of 14: A->N) of the NADH-quinone oxidoreductase complex I which generally couples NADH and ubiquinone oxidation/reduction in bacteria and mammalian mitochondria, but may act on NADPH and/or plastoquinone in cyanobacteria and plant chloroplasts."
TIGR01060	122.7543742	0.527859143	0.18083169	2.919063256	0.00351085	0.06245649	Energy metabolism	Glycolysis/gluconeogenesis	eno	phosphopyruvate hydratase	eno	4.2.1.11	Alternate name: enolase
TIGR03544	62.01402785	-3.600649424	1.236217658	-2.912633873	0.003583945	0.06245649	NA	NA	DivI1A_domain	DivIVA domain	NA	NA	"This HMM describes a domain found in Bacillus subtilis cell division initiation protein DivIVA, and homologs, toward the N-terminus. It is also found as a repeated domain in certain other proteins, including family TIGR03543."
TIGR01251	56.9909386	-0.406886441	0.139843409	-2.909586115	0.003619077	0.06245649	"Purines, pyrimidines, nucleosides, and nucleotides"	Purine ribonucleotide biosynthesis	ribP_PPkin	ribose-phosphate pyrophosphokinase	prs	2.7.6.1	"Alternate name: phosphoribosylpyrophosphate synthetase In some systems, close homologs lacking enzymatic activity exist and perform regulatory functions. The model is designated subfamily rather than equivalog for this reason."
TIGR03193	50.31547733	-0.5870475	0.202192515	-2.903408668	0.003691246	0.062751185	NA	NA	4hydroxCoAred	"4-hydroxybenzoyl-CoA reductase, gamma subunit"	hcrC	1.3.7.9	"4-hydroxybenzoyl-CoA reductase converts 4-hydroxybenzoyl-CoA to benzoyl-CoA, a common intermediate in the degradation of aromatic compounds. This protein family represents the gamma chain of this three-subunit enzyme."
TIGR01292	84.78120271	0.373558131	0.12915546	2.892313897	0.003824157	0.064054624	Energy metabolism	Electron transport	TRX_reduct	thioredoxin-disulfide reductase	trxB	1.8.1.9	"This HMM describes thioredoxin-disulfide reductase, a member of the pyridine nucleotide-disulphide oxidoreductases (PFAM:PF00070)."
TIGR03361	13.02946144	-0.946298591	0.327754123	-2.887221015	0.003886611	0.064157247	NA	NA	VI_Rhs_Vgr	type VI secretion system Vgr family protein	NA	NA	"Members of this protein family belong to the Rhs element Vgr protein family (see TIGR01646), but furthermore all are found in genomes with type VI secretion loci. However, members of this protein family, although recognizably correlated to type VI secretion according the partial phylogenetic profiling algorithm, are often found far the type VI secretion locus."
TIGR00657	28.3984233	0.591789945	0.207341801	2.854175775	0.004314865	0.06881186	Amino acid biosynthesis	Aspartate family	asp_kinases	aspartate kinase	NA	2.7.2.4	"Aspartate kinase catalyzes a first step in the biosynthesis from Asp of Lys (and its precursor diaminopimelate), Met, and Thr. In E. coli, a distinct isozyme is inhibited by each of the three amino acid products. The Met-sensitive (I) and Thr-sensitive (II) forms are bifunctional enzymes fused to homoserine dehydrogenases and form homotetramers, while the Lys-sensitive form (III) is a monofunctional homodimer. The Lys-sensitive enzyme of Bacillus subtilis resembles the E. coli form but is an alpha 2/beta 2 heterotetramer, where the beta subunit is translated from an in-phase alternative initiator at Met-246. This may be a feature of a number of closely related forms, including a paralog from B. subtilis."
TIGR02842	3.958341884	-1.56152398	0.547612295	-2.851513731	0.004351161	0.06881186	Energy metabolism	Electron transport	CyoC	"cytochrome o ubiquinol oxidase, subunit III"	cyoC	1.10.3.-	"Cytochrome o terminal oxidase complex is the component of the aerobic respiratory chain which reacts with oxygen, reducing it to water with the concomitant transport of 4 protons across the membrane."
TIGR00089	59.40124885	-0.439894309	0.154395469	-2.849140021	0.004383758	0.06881186	NA	NA	TIGR00089	"radical SAM methylthiotransferase, MiaB/RimO family"	NA	2.1.1.- 2.8.1.-	"This subfamily contains the tRNA-i(6)A37 modification enzyme, MiaB (TIGR01574). This subfamily is aparrently a part of a larger superfamily of enzymes utilizing both a 4Fe4S cluster and S-adenosyl methionine"
TIGR03392	31.7761052	0.757818797	0.266661652	2.841873933	0.004484922	0.06881186	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	FeS_syn_CsdA	"cysteine desulfurase, catalytic subunit CsdA"	csdA	2.8.1.7	"Members of this protein family are CsdS. This protein, found Escherichia coli, Yersinia pestis, Photorhabdus luminescens, and related species, and related to SufS, works together with and physically interacts with CsdE (a paralog of SufE). CsdA has cysteine desulfurase activity that is enhanced by CsdE, a sulfur acceptor protein. This gene pair, although involved in FeS cluster biosynthesis, is not found next to other such genes as are its paralogs from the Suf or Isc systems."
TIGR03903	15.43425216	-1.12403556	0.396205341	-2.837002545	0.004553925	0.06881186	Cellular processes	Toxin production and resistance	TOMM_kin_cyc	TOMM system kinase/cyclase fusion protein	NA	NA	"This model represents proteins of 1350 in length, in multiple species of Burkholderia, in Acidovorax avenae subsp. citrulli AAC00-1 and Delftia acidovorans SPH-1, and in multiple copies in Sorangium cellulosum, in genomic neighborhoods that include a cyclodehydratase/docking scaffold fusion protein (TIGR03882) and a member of the thiazole/oxazole modified metabolite (TOMM) precursor family TIGR03795. It has a kinase domain in the N-terminal 300 amino acids, followed by a cyclase homology domain, followed by regions without named domain definitions. It is a probable bacteriocin-like metabolite biosynthesis protein."
TIGR03198	46.08944888	-0.629581176	0.221995181	-2.836012801	0.004568062	0.06881186	NA	NA	pucE	xanthine dehydrogenase E subunit	pucE	1.17.1.4	"This gene has been characterized in B. subtilis [1] as the Iron-sulfur cluster binding-subunit of xanthine dehydrogenase (pucE), acting in conjunction with pucC, the FAD-binding subunit and pucD, the molybdopterin binding subunit."
TIGR02289	5.357925665	-1.488743229	0.525400871	-2.833537799	0.004603586	0.06881186	NA	NA	M3_not_pepF	"oligoendopeptidase, M3 family"	NA	3.4.24.-	"This family consists of probable oligoendopeptidases in the M3 family, related to lactococcal PepF and group B streptococcal PepB (TIGR00181) but in a distinct clade with considerable sequence differences. The likely substrate is small peptides and not whole proteins, as with PepF, but members are not characterized and the activity profile may differ. Several bacteria have both a member of this family and a member of the PepF family."
TIGR00407	17.5821322	0.686149259	0.242598324	2.828334708	0.004679086	0.06881186	Amino acid biosynthesis	Glutamate family	proA	gamma-glutamyl phosphate reductase	proA	1.2.1.41	The related HMM TIGR01092 describes a full-length fusion protein delta l-pyrroline-5-carboxylate synthetase that includes a gamma-glutamyl phosphate reductase region as described by this model. Alternate name: glutamate-5-semialdehyde dehydrogenase. The prosite motif begins at residue 332 of the seed alignment although not all of the members of the family exactly obey the motif.
TIGR02303	8.109013874	-1.052479425	0.372418184	-2.826068842	0.004712314	0.06881186	NA	NA	HpaG-C-term	"4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase, C-terminal subunit"	hpaG	4.1.1.68 5.3.3.10	This model represents one of two subunits/domains of the bifunctional isomerase/decarboxylase involved in 4-hydroxyphenylacetate degradation [1].
TIGR03403	78.42658597	0.691378024	0.245905843	2.811555897	0.004930252	0.071083005	NA	NA	nifS_epsilon	"cysteine desulfurase, NifS family, epsilon proteobacteria type"	nifS	2.8.1.7	"Members of this family are the NifS-like cysteine desulfurase of the epsilon division of the Proteobacteria, similar to the NifS protein of nitrogen-fixing bacteria. Like NifS, and unlike IscS, this protein is found as part of a system of just two proteins, a cysteine desulfurase and a scaffold, for iron-sulfur cluster biosynthesis. This protein is called NifS by Olsen, et al. (PMID:11123951), so we use this designation."
